Olga 2SE,,,,,,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring ,Summer,Fall ,Winter,Annual
2008,,,,,,,,,,,,,,,,,
2007,5.78,2.46,3.91,1.77,1.37,1.18,,0.66,,,,,7.05,1.84,0,0,
2006,6.34,1.46,1.11,2.37,1.15,1.1,0.43,0.34,1.53,2.09,9,3.55,4.63,1.87,12.62,11.79,30.47
2005,4.66,1.4,2.2,1.8,1.38,1.5,0.56,1.71,1.14,4.33,3.38,3.02,5.38,3.77,8.85,10.82,27.08
2004,3.25,1.2,2.75,0.32,1.65,0.65,0.53,3.6,2.23,2.94,5.61,3.96,4.72,4.78,10.78,10.02,28.69
2003,4.28,1.6,2.21,2.88,0.67,0.85,0.16,0.3,0.94,8.16,6.38,1.79,5.76,1.31,15.48,6.24,30.22
2002,5.47,2.7,2.49,2.25,1.56,1.05,0.51,0.51,1.11,0.93,1.96,3,6.3,2.07,4,8.88,23.54
2001,2.61,1.13,2.96,1.61,0.89,2.08,0.53,1.38,0.73,4.32,3.64,5.82,5.46,3.99,8.69,13.99,27.7
2000,2.94,2.24,2.11,2.16,3.68,1.01,0.92,1.21,1.97,2.01,2.24,2.83,7.95,3.14,6.22,6.57,25.32
1999,5.48,3.52,2.94,1.2,2.35,2.27,0.99,1.65,0.29,2.92,4.47,5.48,6.49,4.91,7.68,10.66,33.56
1998,4.12,1.19,3.17,0.48,2.5,1.51,0.9,0.03,0.22,1.88,8.22,6.16,6.15,2.44,10.32,15.16,30.38
1997,4.94,3.75,3.6,2.14,2.11,1.88,1.25,0.71,2.14,3.77,2.58,3.29,7.85,3.84,8.49,8.6,32.16
1996,4.96,2.8,1.13,2.81,1.94,0.38,0.43,0.84,2.82,3.85,4.86,5.33,5.88,1.65,11.53,14.02,32.15
1995,3.02,3.62,1.63,1.72,0.39,0.85,1.37,2.81,0.55,4.28,8.79,3.65,3.74,5.03,13.62,11.41,32.68
1994,1.39,2.84,1.46,1.53,0.64,1.51,0.39,0.34,1.39,3.39,4.42,3.71,3.63,2.24,9.2,10.35,23.01
1993,2.66,0.42,2.04,1.61,3.28,1.7,1.62,0.55,0.73,1.67,1.58,3.17,6.93,3.87,3.98,7.4,21.03
1992,4.37,2.83,1.41,2.99,0.58,1.93,1.48,0.96,2.72,1.97,4.59,2.46,4.98,4.37,9.28,5.54,28.29
1991,3.95,2.68,1.67,2.84,0.87,1.12,1.04,2.58,0.05,0.91,5.24,2.51,5.38,4.74,6.2,9.71,25.46
1990,4.58,3.22,1.53,2.61,1.56,2.48,0.3,2.07,0.2,3.38,7.45,4.42,5.7,4.85,11.03,11.05,33.8
1989,4.17,1.41,3.83,1.84,1.44,0.7,0.54,1.39,0.15,1.5,7.27,3.11,7.11,2.63,8.92,10.91,27.35
1988,2.03,1.33,3.39,1.75,3.27,1.01,0.61,0.73,1.32,3.32,4.54,4.05,8.41,2.35,9.18,9.63,27.35
1987,1.86,2.42,1.73,1.99,1.33,0.45,0.6,0.62,0.2,0.22,1.6,4.05,5.05,1.67,2.02,7.41,17.07
1986,3.81,3.53,3.05,2.2,2.61,1.23,1.19,0,1.44,0.85,6.53,2.21,7.86,2.42,8.82,6.49,28.65
1985,0.62,1.31,1.13,1.98,1.24,1.6,0.15,0.42,1.16,5.54,2.94,0.6,4.35,2.17,9.64,7.94,18.69
1984,7.42,2.64,2.17,0.7,2.63,1.36,0,1.09,2.03,2.59,5.41,2.77,5.5,2.45,10.03,4.7,30.81
1983,5.18,1.56,1.93,1.72,2.8,1.08,1.05,0.54,3.03,2.36,5.62,2.51,6.45,2.67,11.01,12.57,29.38
1982,6.44,6.36,1.97,0.96,0.49,1.15,2.97,0.64,1.26,2.11,2.11,4.42,3.42,4.76,5.48,11.16,30.88
1981,1.43,4.53,2.04,2.8,2.32,2.13,0.75,0.27,1.31,4.2,2.49,5.2,7.16,3.15,8,18,29.47
1980,1.65,2.56,2.99,1.44,1.48,2.89,0.68,0.5,2.3,0.62,5.98,4.46,5.91,4.07,8.9,10.42,27.55
1979,1.76,2.36,1.31,2.04,0.52,1.27,0.59,0.9,1.95,1.65,1.73,8.35,3.87,2.76,5.33,12.56,24.43
1978,2.99,2.79,2.42,2.25,1.65,0.78,0.83,1.93,2.21,1.53,3.35,1.88,6.32,3.54,7.09,6,24.61
1977,2.49,1.27,3.13,1.32,2.04,0.63,0.75,1.42,1.75,1.52,3.49,4.08,6.49,2.8,6.76,9.86,23.89
1976,5.35,4.28,1.67,1.85,1.59,1.35,0.84,2.26,1,2.3,1.13,3.12,5.11,4.45,4.43,6.88,26.74
1975,4.44,3.23,1.13,1.22,1.51,0.95,1.48,3.07,0.58,3.62,5,6.49,3.86,5.5,9.2,16.12,32.72
1974,7,3.27,2.5,2.42,1.97,1.05,1.93,0.07,0.26,1.34,4.38,4.8,6.89,3.05,5.98,12.47,30.99
1973,2.33,1.6,1.76,0.66,1.1,1.6,0.25,0.76,0.95,3.95,5.62,4.56,3.52,2.61,10.52,14.83,25.14
1972,4.69,4.65,4,3.53,0.61,1.59,1.53,1.02,1.71,1.25,2.59,6.16,8.14,4.14,5.55,10.09,33.33
1971,7.75,3.47,3.22,0.55,1.16,2.49,0.86,0.53,2.53,2.08,5.67,6.9,4.93,3.88,10.28,16.24,37.21
1970,5.01,2.13,1.65,3.21,0.96,0.43,0.71,0.09,2.38,2.84,3.59,3.19,5.82,1.23,8.81,14.41,26.19
1969,4.02,0.74,1.99,3.78,1.15,0.59,0.86,0.74,3.66,2.18,2.19,2.84,6.92,2.19,8.03,9.98,24.74
1968,3.98,3.15,3.57,1.97,1.67,1.62,0.85,1.97,2.62,3.82,4.14,5.17,7.21,4.44,10.58,9.93,34.53
1967,7.64,3.64,2.4,2.15,1.96,1.09,0.32,0.02,1,7.61,1.99,6.08,6.51,1.43,10.6,13.21,35.9
1966,3.24,1.62,2.79,1.52,1.78,1.21,3.62,0.59,1.19,4.02,3.45,4.82,6.09,5.42,8.66,16.1,29.85
1965,5.96,4.95,0.44,2.38,1.81,0.6,0.33,2.61,1.5,3.26,4.61,4.29,4.63,3.54,9.37,9.15,32.74
1964,5.5,2.78,3.84,1.67,1.64,1.91,1.81,1.61,2.96,1.54,3.63,3.65,7.15,5.33,8.13,14.56,32.54
1963,1.63,2.57,1.46,2.31,1.08,1.31,1.4,1.15,1.63,4.34,4.78,5.92,4.85,3.86,10.75,14.2,29.58
1962,2.05,1.32,2.39,1.89,1.57,0.78,0.19,3.29,1.52,2.85,5.14,3.34,5.85,4.26,9.51,7.54,26.33
1961,4.14,5.51,2.84,1.99,2.25,0.84,1.07,0.62,1.1,3.09,2.72,4.33,7.08,2.53,6.91,7.7,30.5
1960,4.62,2.49,2.68,2.1,2.67,0.74,0,2.43,1.18,2.14,4.22,2.2,7.45,3.17,7.54,11.85,27.47
1959,5.28,2.5,2.01,2.65,1.4,1.36,0.57,1.69,3.68,3.11,4.74,4.62,6.06,3.62,11.53,11.73,33.61
1958,3.27,2.88,1.05,1.87,1.15,1.26,0,0.48,1.76,4.24,6.74,3.77,4.07,1.74,12.74,11.55,28.47
1957,1.96,2.73,3.76,1.83,2.63,1.49,1.35,0.61,0.47,2.02,1.95,4.22,8.22,3.45,4.44,10.37,25.02
1956,3.14,1.83,2.89,0.2,0.31,2.91,0.3,1.62,2.99,5.81,2.19,6.57,3.4,4.83,10.99,11.26,30.76
1955,2.29,4.35,2.48,1.87,1.82,2.4,2.34,0.34,1.09,4.29,5.99,5.32,6.17,5.08,11.37,10.29,34.58
1954,5.74,3.37,0.83,1.93,1.33,1.49,1.49,2.17,2.31,1.22,6.49,2.36,4.09,5.15,10.02,9,30.73
1953,8.41,2.96,1.49,2.46,1.06,1.73,0.99,0.71,1.83,2.47,4.92,6.49,5.01,3.43,9.22,15.6,35.52
1952,2.63,2.06,3.4,1.63,1.86,1.45,0.65,0.37,0.68,1.76,0.68,2.73,6.89,2.47,3.12,14.1,19.9
1951,5.86,4.79,3.18,0.47,1.79,0.24,0.17,0.53,1.75,4.93,2.41,3.29,5.44,0.94,9.09,7.98,29.41
1950,2.88,3.34,3.82,1.56,1.05,0.41,1.15,1.77,0.63,5,4.23,4.24,6.43,3.33,9.86,14.89,30.08
1949,0.62,4.66,2.15,1.22,0.59,1.25,1.32,0.61,1.76,2.85,5.2,7.33,3.96,3.18,9.81,13.55,29.56
1948,2.96,5.28,2.5,1.69,4.2,2.61,1.09,2.71,1.53,2.5,5.18,5.22,8.39,6.41,9.21,10.5,37.47
1947,5.12,2.84,2.58,2.38,1.12,1.5,0.51,0.87,1.22,5.15,3.77,5.09,6.08,2.88,10.14,13.33,32.15
1946,4.16,2.93,3.71,1.88,0.76,3.27,0.74,0.24,0.6,3.5,1.88,3.04,6.35,4.25,5.98,11,26.71
1945,4.47,2.67,2.08,2.55,1.13,0.52,0.26,0.67,3.56,6.42,5.11,3.48,5.76,1.45,15.09,10.57,32.92
1944,2.39,2.04,1.7,2.16,0.93,1.56,0.42,1.03,1.56,1.94,2.78,1.57,4.79,3.01,6.28,8.71,20.08
1943,1.45,2.8,1.92,2.56,0.86,0.96,0.57,1.77,0.49,3.03,1.27,1.83,5.34,3.3,4.79,6.26,19.51
1942,1.23,1.63,1.47,2.08,1.53,3.4,1.46,0.22,0.32,1.81,4.91,4.86,5.08,5.08,7.04,9.11,24.92
1941,2.75,1.88,1.12,1.97,2.2,1.2,0.37,1.32,2.94,2.37,4.54,4.27,5.29,2.89,9.85,7.13,26.93
1940,2.2,4.19,3.77,1.07,1.81,0.1,0.82,0.47,1.45,2.8,3.4,3.95,6.65,1.39,7.65,8.58,26.03
1939,5.28,3.53,1.07,1.07,1.17,2.26,1.34,0.58,0.26,3.19,4.36,4.51,3.31,4.18,7.81,10.9,28.62
1938,2.95,1.47,2.11,2.2,0.94,0.01,0.42,0.19,1.32,2.83,2.92,6.13,5.25,0.62,7.07,14.94,23.49
1937,1.52,3.65,1.9,2.2,1.16,3.96,0.01,1.56,0.9,2.47,4.05,6.08,5.26,5.53,7.42,10.5,29.46
1936,5.65,3.46,2.29,1.19,2.67,1.74,0.8,0.31,2.04,0.98,1.37,6.42,6.15,2.85,4.39,11.59,28.92
1935,13.04,1.01,3.75,0.47,0.29,0.45,1.14,0.61,1.35,2.52,2.21,1.61,4.51,2.2,6.08,10.72,28.45
1934,5.92,1.35,2.96,1.07,0.78,0.07,0.58,0.95,1.4,1.77,4.3,5.63,4.81,1.6,7.47,19.68,26.78
1933,5.51,1.85,2.75,0.36,2.06,1.15,1.3,0.6,2.8,4.02,3.48,8.75,5.17,3.05,10.3,16.02,34.63
1932,3.73,4.93,4.68,2.06,0.34,0.82,3.3,0.75,0.94,3.27,7.71,3.51,7.08,4.87,11.92,10.87,36.04
1931,4.13,2.58,3.31,0.76,0.92,2.92,0.81,0.17,3.43,0.85,4.24,2.63,4.99,3.9,8.52,11.29,26.75
1930,1.32,3.95,2.7,1.75,0.88,1.08,0.01,0.01,1.47,5.31,1.26,1.22,5.33,1.1,8.04,7.93,20.96
1929,1.11,0.85,2.57,0.95,0.68,0.51,0.13,0.51,0.31,1.38,2.01,4.08,4.2,1.15,3.7,9.35,15.09
1928,4.19,0.87,2.36,2.21,0.1,0.95,0.38,0.4,0.84,4.21,1.77,2.35,4.67,1.73,6.82,4.31,20.63
1927,3.21,2.12,2.33,1.25,0.97,0.68,0.52,2.21,2.45,4.01,5.53,3.42,4.55,3.41,11.99,8.48,28.7
1926,3.32,3.07,0.82,1.11,2.77,0.26,0.01,1.51,1.17,2.91,3.19,4.39,4.7,1.78,7.27,9.72,24.53
1925,4.59,2.55,2.66,2.59,0.94,0.11,0.63,0.87,0.81,1.81,2.46,5.27,6.19,1.61,5.08,11.66,25.29
1924,2.56,5.5,1.03,1.97,0.12,0.76,0.65,0.82,1.29,2.14,4.15,6.89,3.12,2.23,7.58,14.03,27.88
1923,5.76,1.89,2.56,1.25,2.9,0.95,1.05,1.37,1.69,2.14,2.52,7.19,6.71,3.37,6.35,15.25,31.27
1922,1.91,1.68,2.38,2.02,1.17,0.02,0,1.15,2.6,3.34,1.88,5.7,5.57,1.17,7.82,13.35,23.85
1921,4.59,3.31,1.53,1.63,1.89,1.87,0.12,1.04,3.14,4.58,6.2,4.47,5.05,3.03,13.92,8.06,34.37
1920,6.19,0.66,3.22,2.8,1.16,2.12,0.55,1.24,3.73,5.58,3.6,5.18,7.18,3.91,12.91,13.08,36.03
1919,5.24,3.05,3.33,3.12,1.57,0.62,0.42,0.41,1.88,1.19,4.63,3.45,8.02,1.45,7.7,10.3,28.91
1918,4.86,3.04,2.4,0.57,0.63,0.25,1.49,2.13,0.27,4.11,3.83,5.64,3.6,3.87,8.21,13.93,29.22
1917,4.62,2.09,2.5,3.72,1.05,3.52,0.29,0.5,1.31,1.33,3.08,13.88,7.27,4.31,5.72,21.78,37.89
1916,2.61,4.86,6.09,1.89,1.06,0.86,2.16,0.13,0.99,1.51,2.53,4.19,9.04,3.15,5.03,10.9,28.88
1915,3.34,1.79,2.76,1.19,1.19,0.53,0.91,0.03,0.71,4.47,5.81,5.43,5.14,1.47,10.99,12.9,28.16
1914,5.17,2.52,1.44,2.44,0.35,3.86,0.03,0.22,4.51,2.04,6.35,1.29,4.23,4.11,12.9,6.42,30.22
1913,6.06,2.25,1.69,1.95,1.75,2.58,0.59,0.51,1.99,5.28,2.82,1.46,5.39,3.68,10.09,9.15,28.93
1912,3.85,2.74,1.4,2.09,2.35,1.73,1.28,3.62,1.14,3.38,5.17,5.05,5.84,6.63,9.69,13.36,33.8
1911,4.2,1.5,1.13,1.88,3.1,0.99,0.4,1.17,2.9,0.61,6.44,5.05,6.11,2.56,9.95,11.64,29.37
1910,5.47,3.74,2.54,1.93,1.5,1.31,0.01,0.5,1.16,4.96,5.72,6.95,5.97,1.82,11.84,12.65,35.79
1909,3.18,3.16,2.21,0.67,1.35,0.65,2.03,0.9,1.59,2.48,9.45,2.47,4.23,3.58,13.52,11.68,30.14
1908,3.81,3.67,3.57,1.06,1.7,0.8,0.55,0.93,0.16,3.31,2.62,3.18,6.33,2.28,6.09,9.52,25.36
1907,2.29,5.04,1.58,2.22,0.3,0.79,0.95,1.22,1.91,0.71,4.46,4.99,4.1,2.96,7.08,12.47,26.46
1906,2.77,3.1,1.05,0.75,4.27,1.35,0.23,1.13,3.59,4.8,5.62,5.34,6.07,2.71,14.01,12.67,34
1905,2.95,1.69,1.8,0.58,3.01,1.56,0.56,1.13,5.73,3.23,1.3,3.12,5.39,3.25,10.26,8.99,26.66
1904,4.92,4.45,3.52,1.46,0.63,1.37,0.4,0.49,0.98,1.97,5.17,4.1,5.61,2.26,8.12,8.74,29.46
1903,4.6,2.9,3.5,1.36,1.59,0.98,1.36,1.2,4.27,2.12,5.75,2.52,6.45,3.54,12.14,11.89,32.15
1902,2.4,1.86,3.36,2.03,1.69,0.55,0.98,0.96,1.69,1.7,6.26,6.69,7.08,2.49,9.65,14.19,30.17
1901,2.84,3.38,2.04,4.04,1.49,1.83,0.39,0.01,1.67,2.11,6.72,2.42,7.57,2.23,10.5,6.68,28.94
1900,4.25,3.08,2.95,1.88,2.56,2.47,0.64,1.37,1.88,2.76,2.22,4.52,7.39,4.48,6.86,10.74,30.58
1899,4.15,3.92,2.17,2.14,2.5,0.38,0.6,2.31,1.02,3.78,5.95,4.85,6.81,3.29,10.75,12.18,33.77
1898,1.33,3.93,3.22,1.22,0.96,2.15,0.46,0.3,2.55,3.31,4.31,3.42,5.4,2.91,10.17,11.49,27.16
1897,2.75,2.58,2.47,1.65,2.29,1.29,1.38,0.64,2.87,1.15,4.92,6.32,6.41,3.31,8.94,11.58,30.31
,,,,,,,,,,,,,,,,,
Average,3.915140187,2.825794393,2.405420561,1.829906542,1.548130841,1.338971963,0.832523364,1.010093458,1.654859813,2.920747664,4.140654206,4.347476636,5.783457944,3.181588785,8.716261682,11.08018692,28.76971963
